start_station_name,num_starts
"De Vere Gardens, Kensington",29795
"Albert Gate, Hyde Park",155647
"Exhibition Road, Knightsbridge",76581
"Roscoe Street, St. Luke's",32518
"Speakers' Corner 2, Hyde Park",67010
"Boston Place, Marylebone",45237
"Black Lion Gate, Kensington Gardens",161952
"Cadogan Gardens, Chelsea",34476
"Great Marlborough Street, Soho",61110
"Whiteley's, Bayswater",36278
"Belgrave Road, Victoria",48788
"Cartwright Gardens , Bloomsbury",38618
"Warwick Avenue Station, Maida Vale",40527
"Stonecutter Street, Holborn",43231
"New Globe Walk, Bankside",41692
"Parsons Green Station, Parsons Green",41847
"Aldersgate Street, Barbican",67244
"Crisp Road, Hammersmith",30610
"Walworth Road, Elephant & Castle",32488
"Buckingham Gate, Westminster",36727
"Vincent Street, Pimlico",22120
"Hammersmith Town Hall, Hammersmith",15726
"Golden Square, Soho",39862
"Brushfield Street, Liverpool Street",103114
"Whitehall Place, Strand",76669
"Plough Terrace, Clapham Junction",10995
"South Kensington Station, South Kensington",74467
"Chelsea Green, Chelsea",20037
"Graham Street, Angel",51586
"Dunston Road , Haggerston",60541
"Kennington Road Post Office, Oval",18020
"Moorfields, Moorgate",75453
"Lord's, St. John's Wood",8824
"Disraeli Road, Putney",19294
"All Saints Church, Portobello",39557
"Bonny Street, Camden Town",42978
"Tate Modern, Bankside",20356
"Marylebone Lane, Marylebone",41235
"Craven Street, Strand",96609
"Langdon Park, Poplar",6400
"All Saints' Road, Portobello",19441
"Westbourne Park Road, Portobello",24849
"Pritchard's Road, Bethnal Green",45137
"Palace Gate, Kensington Gardens",91917
"Braham Street, Aldgate",50803
"Queen Mother Sports Centre, Victoria",43296
"Harcourt Terrace, West Brompton",25585
"Lancaster Gate , Bayswater",41352
"Bankside Mix, Bankside",73589
"Hoxton Street, Hoxton",21503
"Belgrave Square, Belgravia",19270
"Thornfield House, Poplar",2747
"Gloucester Road (Central), South Kensington",23836
"Penywern Road, Earl's Court",31862
"Knaresborough Place, Earl's Court",24610
"New Kent Road, The Borough",23661
"Paddington Street, Marylebone",24716
"Ravenscourt Park Station, Hammersmith",18786
"Cloudesley Road, Angel",29654
"Hereford Road, Bayswater",27717
"Pitfield Street North,Hoxton",37685
"West Smithfield Rotunda, Farringdon",56780
"Wellington Arch, Hyde Park",110260
"Duke Street Hill, London Bridge",96557
"Brick Lane Market, Shoreditch",40700
"Manfred Road, East Putney",3997
"Putney Pier, Wandsworth",11935
"Maclise Road, Olympia",27300
"York Hall, Bethnal Green",39313
"Victoria Park Road, Hackney Central",40412
"Ingrave Street, Clapham Junction",6604
"Berry Street, Clerkenwell",63480
"Waterloo Station 2, Waterloo",80840
"Whiston Road, Haggerston",19997
"Exhibition Road Museums, Knightsbridge",6353
"Castlehaven Road, Camden Town",43786
"Tavistock Street, Covent Garden",56188
"Curlew Street, Shad Thames",50967
"Grosvenor Crescent, Belgravia",14288
"Tachbrook Street, Victoria",32479
"Newgate Street , St. Paul's",86980
"Fulham Park Road, Fulham",22356
"Clifton Road, Maida Vale",31246
"Old Montague Street, Whitechapel",35541
"Bourne Street, Belgravia",18992
"East Road, Hoxton",31157
"Heron Quays DLR, Canary Wharf",11597
"Clinton Road, Mile End",25456
"Harrington Square 2, Camden Town",28485
"Phillimore Gardens, Kensington",34201
"Appold Street, Liverpool Street",31144
"Oxford Road, Putney",5505
"Sutton Street, Shadwell",28172
"Bow Road Station, Bow",25038
"Holborn Circus, Holborn",74748
"Ontario Street, Elephant & Castle",30031
"Ethelburga Estate, Battersea Park",47336
"Manresa Road, Chelsea",28253
"Waterloo Road, South Bank",32327
"Carnegie Street, King's Cross",22782
"Godliman Street, St. Paul's",56843
"Cadogan Close, Victoria Park",33986
"Lower Thames Street, Monument",20919
"Jewry Street, Aldgate",30452
"Lots Road, West Chelsea",19755
"Nesham Street, Wapping",64011
"Panton Street, West End",38813
"Greenland Road, Camden Town",42398
"Concert Hall Approach 2, South Bank",26995
"Shouldham Street, Marylebone",24433
"Warwick Road, Olympia",22111
"Jubilee Gardens, South Bank",56071
"St. George's Square, Pimlico",36773
"Hortensia Road, West Brompton",21440
"Flamborough Street, Limehouse",41964
"Pembridge Villas, Notting Hill",22192
"Russell Square Station, Bloomsbury",48007
"Old Street Station, St. Luke's",89112
"Great Tower Street, Monument",68376
"Euston Road, Euston",31896
"Earnshaw Street , Covent Garden",34165
"Gower Place , Euston",34560
"St. George Street, Mayfair",26130
"Cheshire Street, Bethnal Green",24900
"Christopher Street, Liverpool Street",32821
"Bethnal Green Road, Shoreditch",100005
"Charing Cross Hospital, Hammersmith",19059
"Bayley Street , Bloomsbury",45844
"Mostyn Grove, Bow",19320
"Finlay Street, Fulham",24534
"Warren Street Station, Euston",55857
"Sumner Place, South Kensington",18531
"Edgware Road Station, Marylebone",30878
"Islington Green, Angel",69460
"East Village, Queen Elizabeth Olympic Park",15602
"Tooley Street, Bermondsey",69470
"Ossulston Street, Somers Town",9416
"Houndsditch, Aldgate",19933
"Bury Place, Holborn",29607
"Trebovir Road, Earl's Court",22086
"St. James's Square, St. James's",65477
"Bancroft Road, Bethnal Green",22661
"Gloucester Road Station, South Kensington",58124
"Aberfeldy Street, Poplar",3332
"Buxton Street 1, Shoreditch",17931
"Stephendale Road, Sands End",36035
"King Edward Street, St Pauls",22956
"Borough Road, Elephant & Castle",19074
"Commercial Street, Shoreditch",31438
"Broomhouse Lane, Parsons Green",8075
"Poured Lines, Bankside",46919
"Soho Square , Soho",79684
"British Museum, Bloomsbury",59185
"Wardour Street, Soho",60530
"Liverpool Road (N1 Centre), Angel",51256
"Alfreda Street, Battersea Park",19176
"St. Katharine's Way, Tower",28657
"Granby Street, Shoreditch",44716
"Alderney Street, Pimlico",31480
"Cheapside, Bank",85285
"Fire Brigade Pier, Vauxhall",42892
"Newton Street, Covent Garden",26697
"Columbia Road, Shoreditch",34333
"The Green Bridge, Mile End",35127
"Hertford Road, De Beauvoir Town",35536
"Saunders Ness Road, Cubitt Town",26092
"Queensbridge Road, Haggerston",20616
"Finsbury Leisure Centre, St. Luke's",60917
"Westfield Library Corner, Shepherd's Bush",27040
"Wapping High Street, Wapping",20386
"Archbishop's Park, Waterloo",25456
"Bayswater Road, Hyde Park",51127
"Michael Road, Walham Green",23589
"Hop Exchange, The Borough",115135
"Wren Street, Holborn",49144
"Pott Street, Bethnal Green",41584
"Melton Street, Euston",18016
"Sun Street, Liverpool Street",73579
"Wellington Row, Bethnal Green",29172
"Bradmead, Battersea Park",10643
"Sopwith Way, Battersea Park",15746
"Pall Mall East, West End",51201
"Eccleston Place, Victoria",62436
"Charles II Street, West End",26525
"Holland Park, Kensington",21801
"Bedford Way, Bloomsbury",26939
"Devonshire Terrace, Bayswater",40838
"Old Quebec Street, Marylebone",45578
"Monument Street, Monument",35907
"Union Street, The Borough",28996
"Albert Bridge Road, Battersea Park",33162
"Wellington Road, St. John's Wood",19014
"Eel Brook Common, Walham Green",19312
"Hansard Mews, Holland Park",15647
"Cumberland Gate, Hyde Park",46785
"Farringdon Lane, Clerkenwell",31198
"Charlotte Street, Fitzrovia",32402
"Warwick Square, Pimlico",27169
"Winsland Street, Paddington",60249
"Lightermans Road, Millwall",13459
"Old Ford Road, Bethnal Green",29849
"Holy Trinity Brompton, Knightsbridge",31554
"Drury Lane, Covent Garden",71187
"Salmon Lane, Limehouse",25111
"High Holborn , Covent Garden",23865
"Hampstead Road, Euston",48974
"Westbridge Road, Battersea",44653
"Longford Street, The Regent's Park",19816
"Clapham Common North side, Clapham Common",12594
"Lambeth North Station, Waterloo",23995
"Imperial College, Knightsbridge",47473
"Podium, Queen Elizabeth Olympic Park",26656
"Strata, Elephant & Castle",22646
"Westbourne Grove, Bayswater",27713
"Portman Square, Marylebone",28506
"Park Street, Bankside",25650
"Black Prince Road, Vauxhall",24971
"Fisherman's Walk West, Canary Wharf",30208
"Haggerston Road, Haggerston",36022
"Montgomery Square, Canary Wharf",18399
"Northumberland Avenue, Strand",46700
"Parkway, Camden Town",26736
"Blenheim Crescent, Ladbroke Grove",28268
"Mile End Stadium, Mile End",22175
"South Lambeth Road, Vauxhall",20294
"Ashmole Estate, Oval",17608
"Page Street, Westminster",32477
"Lower Marsh, Waterloo",30367
"Southampton Street, Strand",48604
"Kennington Lane Rail Bridge, Vauxhall",69407
"Belvedere Road 2, South Bank",6809
"Bricklayers Arms, Borough",37144
"Star Road, West Kensington",18654
"Cleaver Street, Kennington",13433
"Neville Gill Close, Wandsworth",13781
"Chesilton Road, Fulham",28481
"Eaton Square (South), Belgravia",16894
"Wellington Street , Strand",45158
"Nutford Place, Marylebone",27386
"Ashley Place, Victoria",62210
"Queen's Circus, Battersea Park",53236
"Westfield Southern Terrace ,Shepherd's Bush",17866
"Smugglers Way, Wandsworth",14235
"Albert Embankment, Vauxhall",25754
"Wenlock Road , Hoxton",40463
"Coram Street, Bloomsbury",9205
"Clapham Common North Side, Clapham Common",10327
"Chelsea Bridge, Pimlico",29993
"Exhibition Road Museums, South Kensington",43377
"Humbolt Road, Fulham",21025
"Queen Street 1, Bank",87321
"Limerston Street, West Chelsea",48290
"Bow Church Station, Bow",18935
"Woodstock Grove, Shepherd's Bush",38467
"Leman Street, Aldgate",62747
"Stanley Grove, Battersea",11354
"Abyssinia Close, Clapham Junction",11184
"Westfield Ariel Way, White City",10587
"Albert Gardens, Stepney",28264
"Rodney Street, Angel",10958
"Northfields, Wandsworth",11244
"Sackville Street, Mayfair",34306
"Wormwood Street, Liverpool Street",119447
"Alma Road, Wandsworth",10533
"Clarendon Road, Avondale",12262
"Southern Grove, Bow",14660
"Crosswall, Tower",81622
"Westminster University, Marylebone",25545
"Bell Lane, Liverpool Street",31511
"Bridge Avenue, Hammersmith",23852
"LSBU (Borough Road), Elephant & Castle",18314
"Chepstow Villas, Notting Hill",27243
"Longford Street, Regent's Park",2776
"Timber Lodge, Queen Elizabeth Olympic Park",14347
"Lexham Gardens, Kensington",25090
"Lancaster Drive, Blackwall",7948
"Southwark Street, Bankside",9720
"Houghton Street, Strand",15986
"Doddington Grove, Kennington",24359
"Endsleigh Gardens, Euston",54843
"Geraldine Street, Elephant & Castle",9905
"Waterloo Bridge, South Bank",21903
"Greenberry Street, St.John's Wood",10711
"Guildhouse Street, Victoria",18674
"East India DLR, Blackwall",13668
"Westferry Circus, Canary Wharf",9707
"Shoreditch Court, Haggerston",23558
"Royal Avenue 1, Chelsea",21761
"Greyhound Road, Hammersmith",24929
"Battersea Park Road, Nine Elms",20339
"Central House, Aldgate",18766
"Millbank Tower, Pimlico",33461
"Grosvenor Square, Mayfair",30239
"Jubilee Crescent, Cubitt Town",9117
"Park Lane, Mayfair",24279
"Cromer Street, Bloomsbury",10372
"Surrey Lane, Battersea",24117
"Empire Square, The Borough",32228
"Sloane Avenue, Knightsbridge",38250
"Vicarage Crescent, Battersea",33159
"Concert Hall Approach 1, South Bank",27604
"St. Mary & St. Michael Church, Stepney",7454
"Bouverie Street, Temple",46222
"Shadwell Station, Shadwell",37235
"Abingdon Green, Westminster",41428
"Argyll Road, Kensington",19860
"Kennington Oval, Oval",30818
"Montpelier Street, Knightsbridge",43237
"Baker Street, Marylebone",27154
"Upper Bank Street, Canary Wharf",23159
"Crinan Street, King's Cross",28143
"Howick Place, Westminster",49663
"Kingsway Southbound, Strand",32612
"Cleveland Way, Stepney",22589
"Spindrift Avenue, Millwall",11621
"Aberdeen Place, St. John's Wood",19391
"Victoria & Albert Museum, South Kensington",14599
"Usk Road, Clapham Junction",14235
"South Parade, Chelsea",15630
"Watney Market, Stepney",24888
"Red Lion Street, Holborn",64692
"Snowsfields, London Bridge",29520
"Rochester Row, Westminster",19900
"South Wharf Road, Paddington",48245
"Lavington Street, Bankside",17636
"St. Luke's Church, Chelsea",25588
"Belvedere Road, South Bank",46712
"Sandilands Road, Walham Green",23786
"Brook Green South, Brook Green",21139
"Great Suffolk Street, The Borough",26487
"Driffield Road, Old Ford",26905
"Good's Way, King's Cross",19787
"Southwick Street, Paddington",30233
"Fore Street, Guildhall",29116
"Foley Street, Fitzrovia",24563
"Stanhope Gate, Mayfair",19000
"Cardinal Place, Victoria",35237
"Rampayne Street, Pimlico",39358
"Belgrove Street , King's Cross",234458
"Hatton Garden, Holborn",47629
"Brunswick Square, Bloomsbury",35748
"Red Lion Square, Holborn",29691
"Harriet Street, Knightsbridge",33049
"St. Mark's Road, North Kensington",23246
"Charlbert Street, St. John's Wood",17888
"Horseferry Road, Westminster",34934
"Santos Road, Wandsworth",5458
"East Ferry Road, Cubitt Town",8295
"Great Percy Street, Clerkenwell",32441
"Nevern Place, Earl's Court",21477
"Regent's Row , Haggerston",99706
"Shoreditch Park, Hoxton",43849
"Westferry DLR, Limehouse",40072
"Reardon Street, Wapping",30048
"St. Bride Street, Holborn",47129
"Emperor's Gate, South Kensington",23877
"Borough High Street, The Borough",28107
"Beryl Road, Hammersmith",19496
"Silverthorne Road, Battersea",20502
"Vauxhall Bridge , Pimlico",20903
"Northington Street , Holborn",39681
"Turquoise Island, Notting Hill",34593
"Sedding Street, Sloane Square",46680
"Risinghill Street, Angel",21041
"St. Peter's Terrace, Fulham",29980
"George Street, Marylebone",33811
"Tavistock Place, Bloomsbury",34560
"Wapping Lane, Wapping",32847
"Princes Square, Bayswater",17008
"Pitfield Street (North),Hoxton",5156
"Dorset Square, Marylebone",36011
"Kings Gate House, Westminster",8622
"Grove End Road, St. John's Wood",26922
"Ebury Bridge, Pimlico",32265
"Moor Street, Soho",64093
"London Zoo Car Park, The Regent's Park",25791
"Clapham Road, Lingham Street, Stockwell",7326
"Rifle Place, Avondale",9112
"Falcon Road, Clapham Junction",43791
"Queen Victoria Street, St. Paul's",47904
"Milroy Walk, South Bank",44967
"Hartington Road, Stockwell",24006
"Carey Street, Holborn",16442
"Ilchester Gardens, Bayswater",33458
"Culvert Road, Battersea",10668
"Woodstock Street, Mayfair",22436
"Derry Street, Kensington",57083
"Pancras Road, King's Cross",24640
"Green Street, Mayfair",32606
"Sadlers Sports Centre, Finsbury",43960
"Queen's Gate (North), Kensington",28609
"Monier Road, Hackney Wick",14708
"Embankment (Horse Guards), Westminster",6564
"Ashley Crescent, Battersea",20463
"Notting Hill Gate Station, Notting Hill",67006
"Manbre Road, Hammersmith",14761
"Mudchute DLR, Cubitt Town",6974
"Prince Consort Road, Knightsbridge",29305
"Kennington Road  , Vauxhall",28382
"Hampton Street, Walworth",23576
"Ackroyd Drive, Bow",10442
"Waterloo Station 1, Waterloo",145910
"Frith Street, Soho",39374
"St. Chad's Street, King's Cross",32050
"Green Park Station, West End",8850
"Hinde Street, Marylebone",44003
"Olympia Way, Olympia",31191
"City Road, Angel",32807
"Harper Road, The Borough",13456
"Stebondale Street, Cubitt Town",5641
"Torrens Street, Angel",35961
"Morie Street, Wandsworth",5388
"Natural History Museum, South Kensington",42575
"Cotton Garden Estate, Kennington",15795
"Ansell House, Stepney",18115
"Great Russell Street, Bloomsbury",42606
"Collingham Gardens, Earl's Court",20441
"St. John's Wood Church, Regent's Park",2034
"Guilford Street , Bloomsbury",43991
"Mexfield Road, East Putney",6302
"Putney Bridge Station, Fulham",25001
"Irene Road, Parsons Green",18416
"Ada Street, Hackney Central",33354
"Abingdon Villas, Kensington",19328
"Elysium Place, Fulham",12112
"Queen's Gate (Central), South Kensington",27207
"Hibbert Street, Battersea",10441
"Vereker Road, West Kensington",7412
"Wandsworth Town Station, Wandsworth",27079
"Blythe Road West, Shepherd's Bush",14301
"Vereker Road North, West Kensington",20916
"Stamford Street, South Bank",39206
"Gaywood  Street, Elephant & Castle",17466
"New Cavendish Street, Marylebone",30144
"Osiers Road, Wandsworth",20940
"Strand, Strand",41321
"The Vale, West Chelsea",22743
"New Fetter Lane, Holborn",45236
"Calshot Street , King's Cross",15328
"Tallis Street, Temple",38759
"New North Road 1, Hoxton",12115
"Devonshire Square, Liverpool Street",37929
"Twig Folly Bridge, Mile End",33826
"Hewison Street, Old Ford",16251
"Jubilee Plaza, Canary Wharf",35422
"Hollybush Gardens, Bethnal Green",18297
"Northdown Street, King's Cross",28678
"Palace Gardens Terrace, Notting Hill",38948
"St. Martin's Street, West End",27892
"Binfield Road, Stockwell",41984
"The Guildhall, Guildhall",23532
"World's End Place, West Chelsea",24035
"Rathbone Street, Fitzrovia",23530
"Norton Folgate, Liverpool Street",36095
"Burdett Road, Mile End",16524
"Teversham Lane, Stockwell",10408
"Scala Street, Fitzrovia",26164
"New Inn Yard, Shoreditch",42666
"Gloucester Avenue, Camden Town",30661
"Danvers Street, West Chelsea",26692
"Ilchester Place, Kensington",9754
"Finnis Street, Bethnal Green",21116
"Albany Street, The Regent's Park",25270
"Abbey Orchard Street, Westminster",39749
"Grafton Street, Mayfair",16447
"Fashion Street, Whitechapel",27062
"Sardinia Street, Holborn",32462
"Shepherd's Bush Road North, Shepherd's Bush",18121
"Fanshaw Street, Hoxton",25833
"Watney Street, Shadwell",42245
"Queen Mary's, Mile End",23164
"Ford Road, Old Ford",17595
"Philpot Street, Whitechapel",26771
"Ranelagh Gardens, Fulham",13032
"Millennium Hotel, Mayfair",20275
"Princedale Road , Holland Park",17914
"Kennington Cross, Kennington",46016
"Felsham Road, Putney",17782
"Seymour Place, Marylebone",25858
"Rodney Road , Walworth",29255
"Swan Street, The Borough",29206
"Bethnal Green Garden, Bethnal Green",25129
"Caldwell Street, Stockwell",30596
"Battersea Church Road, Battersea",23656
"Aintree Street, Fulham",21915
"Napier Avenue, Millwall",12076
"Simpson Street, Clapham Junction",23800
"Hampstead Road (Cartmel), Euston",13271
"River Street , Clerkenwell",20708
"Barons Court Station, West Kensington",33988
"Imperial Wharf Station, Sands End",17350
"Lansdowne Road, Ladbroke Grove",27522
"Harford Street, Mile End",19213
"Gloucester Terrace, Bayswater",22843
"Freston Road, Avondale",7240
"Bunhill Row, Moorgate",50094
"St. Mary Axe, Aldgate",37605
"Sugden Road, Clapham",13823
"Edgware Road Station, Paddington",3887
"Vauxhall Street, Vauxhall",9929
"Millharbour, Millwall",4873
"Bruton Street, Mayfair",19359
"Walnut Tree Walk, Vauxhall",21846
"St. John's Wood Church, The Regent's Park",19215
"Cephas Street, Bethnal Green",29718
"Simpson Street, Battersea",2585
"Gloucester Road (North), Kensington",34523
"Cadogan Place, Knightsbridge",18836
"North Wharf Road, Paddington",27149
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",17282
"Howland Street, Fitzrovia",41447
"Royal London Hospital, Whitechapel",38957
"Addison Road, Holland Park",11116
"Hatton Wall, Holborn",61427
"The Vale, Chelsea",16634
"Finsbury Square , Moorgate",37202
"Little Brook Green, Brook Green",13617
"Phene Street, Chelsea",28412
"Portland Place, Marylebone",35633
"Crabtree Lane, Fulham",19178
"Ladbroke Grove Central, Ladbroke Grove",8182
"Ram Street, Wandsworth",19037
"Copper Box Arena, Queen Elizabeth Olympic Park",11941
"Riverlight North, Nine Elms",24518
"Aston Street, Stepney",11658
"Fishermans Walk West, Canary Wharf",3809
"Pont Street, Knightsbridge",26108
"Crawford Street, Marylebone",32331
"Bell Street , Marylebone",29924
"Ormonde Gate, Chelsea",22705
"Here East North, Queen Elizabeth Olympic Park",3362
"Eastbourne Mews, Paddington",35134
"Doric Way , Somers Town",49190
"Thorndike Close, West Chelsea",21389
"Union Grove, Wandsworth Road",22271
"Pitfield Street Central, Hoxton",20969
"Upper Grosvenor Street, Mayfair",10657
"Penfold Street, Marylebone",12489
"Grant Road East, Clapham Junction",24923
"One Tower Bridge, Bermondsey",14396
"Kensington Gore, Knightsbridge",24342
"Southampton Place, Holborn",37429
"Hoxton Station, Hoxton",26426
"Courland Grove, Wandsworth Road",15844
"Paddington Green, Paddington",9955
"Clarence Walk, Stockwell",14996
"Spencer Park, Wandsworth Common",6324
"Hammersmith Road, Hammersmith",32385
"Harrington Square, Camden Town",911
"Bishop's Avenue, Fulham",21647
"Montserrat Road , Putney",10391
"Snow Hill, Farringdon",41197
"Regency Street, Westminster",24437
"Chadwell Street, Angel",41758
"Alpha Grove, Millwall",9407
"Queen Street, Bank",11328
"West Cromwell Road, Earl's Court",25578
"Tysoe Street, Clerkenwell",48977
"Gwendwr Road, West Kensington",15935
"Goswell Road (City Uni), Finsbury",23133
"London Zoo Car Park, Regent's Park",3122
"Campden Hill Road, Notting Hill",13876
"Bermondsey Street, Bermondsey",58513
"Waterloo Station 3, Waterloo",201630
"Heath Road, Battersea",9918
"Merchant Street, Bow",4253
"Mile End Park Leisure Centre, Mile End",21799
"Gloucester Street, Pimlico",36770
"Hardwick Street, Clerkenwell",26550
"Globe Town Market, Bethnal Green",26290
"Bath Street, St. Luke's",55162
"Grant Road West, Clapham Junction",3299
"Spanish Road, Clapham Junction",5329
"Sancroft Street, Vauxhall",17701
"Normand Park, West Kensington",30262
"Windsor Terrace, Hoxton",31654
"Wells Street, Fitzrovia",46795
"Drummond Street , Euston",43276
"Hawley Crescent, Camden Town",13034
"Royal College Street, Camden Town",28584
"Great Dover Street, The Borough",26374
"Prince of Wales Drive, Battersea Park",24111
"Claremont Square, Angel",23247
"Queen's Gate (South), South Kensington",31672
"St. John's Park, Cubitt Town",4036
"Fawcett Close, Clapham Junction",3512
"West Kensington Station, West Kensington",20039
"Grosvenor Road, Pimlico",18625
"Palissy Street, Shoreditch",20424
"Old Brompton Road, South Kensington",34777
"Belvedere Road 1, South Bank",9734
"Peterborough Road, Sands End",10066
"Bank of England Museum, Bank",56299
"St Martins Close, Camden Town",10558
"Naval Row, Blackwall",7947
"Jubilee Street, Stepney",27341
"Drayton Gardens, West Chelsea",38299
"Parson's Green , Parson's Green",35856
"Park Road (Baker Street), Regent's Park",5304
"Golden Lane, Barbican",38021
"Mallory Street, Marylebone",10085
"Antill Road, Mile End",20791
"Clarges Street, Mayfair",10191
"William Morris Way, Sands End",21747
"Bishop's Bridge Road East, Bayswater",18815
"Broadley Terrace, Marylebone",12477
"Stepney Green Station, Stepney",33560
"Bromley High Street, Bromley",985
"New Spring Gardens Walk, Vauxhall",4277
"Kensington Church Street, Kensington",40556
"LMU Commercial Road, Whitechapel",35055
"St. John's Wood Road, St. John's Wood",23503
"Blackfriars Road, Southwark",16746
"Malet Street, Bloomsbury",70015
"Stratford Station, Stratford",12155
"Erin Close, Walham Green",36850
"Nantes Close, Clapham Junction",4600
"Ampton Street , Clerkenwell",27706
"Pennington Street, Wapping",12524
"Great Titchfield Street, Fitzrovia",38824
"Limburg Road, Clapham Junction",4748
"Dickens Square, Borough",11683
"Bevington Road West, North Kensington",8247
"Lincoln's Inn Fields, Holborn",9916
"Broadcasting House, Marylebone",37437
"Smith Square, Westminster",31994
"Hoxton Station, Haggerston",3444
"Stewart's Road, Wandsworth Road",6478
"Putney Bridge Road, East Putney",9120
"Macclesfield Rd, St Lukes",29593
"Kennington Lane Tesco, Vauxhall",18349
"Putney Rail Station, Putney",10560
"Harrington Square 1, Camden Town",8326
"New Road 1 , Whitechapel",26927
"Portugal Street, Holborn",15298
"Baylis Road, Waterloo",64830
"Grenfell Road, Avondale",9961
"Southwark Station 1, Southwark",23216
"Colombo Street, Southwark",20702
"Curzon Street, Mayfair",21263
"New North Road 2, Hoxton",16189
"Vicarage Gate, Kensington",14669
"Lansdowne Walk, Ladbroke Grove",6697
"Walmer Road, Avondale",10850
"Aylward Street, Stepney",17636
"Rossmore Road, Marylebone",17487
"Long Lane , Bermondsey",26917
"Clifton Street, Shoreditch",19752
"Chrisp Street Market, Poplar",14579
"Vaughan Way, Wapping",14739
"Lindfield Street, Poplar",16865
"St. John Street, Finsbury",24592
"Christian Street, Whitechapel",35403
"Chancery Lane, Holborn",22022
"Coomer Place, West Kensington",28043
"Goldsmiths Row, Haggerston",3560
"Webber Street , Southwark",19411
"Evesham Street, Avondale",7158
"Chapel Place, Marylebone",36226
"BBC White City, White City",17151
"George Place Mews, Marylebone",22558
"Museum of London, Barbican",49256
Imperial Wharf Station,10495
"Hurlingham Park, Parsons Green",9046
"South Audley Street, Mayfair",14877
"Eversholt Street , Camden Town",20126
"Sail Street, Vauxhall",15854
"Holden Street, Battersea",8579
"Finsbury Library , Finsbury",27373
"Stainsby Road , Poplar",14339
"Devons Road, Bow",14826
"South Park, Sands End",21764
"Vincent Square, Westminster",16140
"Margery Street, Clerkenwell",26360
"Killick Street, King's Cross",10704
"Vauxhall Walk, Vauxhall",18022
"Charlotte Terrace, Angel",21883
"Dorothy Road, Clapham Junction",17253
"Theobald's Road , Holborn",40301
"Hermitage Court, Wapping",17499
"Thurtle Road, Haggerston",14093
"Kensington Olympia Station, Olympia",15876
"Barbican Centre, Barbican",31172
"Alfred Place, Bloomsbury",39952
"Preston's Road, Cubitt Town",6485
"Imperial Road, Sands End",21473
"Albert Square, Stockwell",8549
"Royal Avenue 2, Chelsea",26706
"Upcerne Road, West Chelsea",18887
"Malmesbury Road, Bow",5537
"Furze Green, Bow",24636
"Russell Gardens, Olympia",11850
"Clarkson Street, Bethnal Green",14117
"Percival Street, Finsbury",29675
"Taviton Street, Bloomsbury",34876
"Murray Grove , Hoxton",22653
"Orbel Street, Battersea",15292
